Date,Mkt-RF,SMB,HML,RMW,CMA,RF
31/08/2018,3.44,0.64,-3.94,-0.31,-2.7,0.16
30/09/2018,0.06,-2.48,-1.7,0.63,1.29,0.15
31/10/2018,-7.68,-4.46,3.4,0.94,3.59,0.19
30/11/2018,1.69,-0.77,0.3,-0.55,0.39,0.18
31/12/2018,-9.57,-2.88,-1.84,-0.02,0.21,0.2
31/01/2019,8.4,3.03,-0.46,-0.8,-1.51,0.21
28/02/2019,3.4,1.74,-2.67,0.12,-1.59,0.18
31/03/2019,1.1,-3.51,-4.17,0.9,-0.95,0.19
30/04/2019,3.97,-1.17,2.15,1.61,-2.22,0.21
31/05/2019,-6.94,-1.59,-2.37,-0.46,1.77,0.21
30/06/2019,6.93,0.37,-0.71,0.9,-0.44,0.18
31/07/2019,1.19,-1.78,0.48,-0.08,0.36,0.19
31/08/2019,-2.58,-3.24,-4.78,0.56,-0.68,0.16
30/09/2019,1.43,0.27,6.75,1.84,3.37,0.18
31/10/2019,2.06,0.26,-1.91,0.44,-0.96,0.16
30/11/2019,3.87,0.44,-2.02,-1.59,-1.24,0.12
31/12/2019,2.77,0.97,1.75,0.01,1.24,0.14
31/01/2020,-0.11,-4.38,-6.25,-1.17,-2.32,0.13
29/02/2020,-8.13,0.04,-3.81,-1.47,-2.51,0.12
31/03/2020,-13.39,-8.28,-13.87,-1.57,1.24,0.13
30/04/2020,13.65,2.56,-1.33,2.72,-1,0
31/05/2020,5.58,1.97,-4.88,0.95,-3.26,0.01
30/06/2020,2.46,1.96,-2.2,0.09,0.54,0.01
31/07/2020,5.77,-3.2,-1.41,0.41,1.02,0.01
31/08/2020,7.63,-0.89,-2.97,4.28,-1.19,0.01
30/09/2020,-3.63,0.01,-2.71,-1.36,-1.85,0.01
31/10/2020,-2.1,4.64,4.25,-0.83,-0.78,0.01
30/11/2020,12.47,7.11,2.09,-2.2,1.4,0.01
31/12/2020,4.63,4.79,-1.51,-1.96,-0.12,0.01
31/01/2021,-0.03,6.94,3.01,-3.78,4.94,0.01
28/02/2021,2.78,4.54,7.15,0.39,-1.94,0
31/03/2021,3.08,-0.88,7.39,6.36,3.42,0
30/04/2021,4.93,-3.16,-0.95,2.44,-2.7,0
31/05/2021,0.29,1.22,7.09,2.45,3.04,0
30/06/2021,2.75,-0.34,-7.87,-2.14,-0.94,0
31/07/2021,1.27,-4.61,-1.78,5.46,-0.52,0
31/08/2021,2.91,-0.68,-0.15,-0.28,-1.79,0
30/09/2021,-4.37,1.12,5.08,-1.96,2.1,0
31/10/2021,6.65,-2.7,-0.49,1.66,-1.45,0
30/11/2021,-1.55,-1.77,-0.45,7.2,1.73,0
31/12/2021,3.1,-0.8,3.26,4.91,4.4,0.01
31/01/2022,-6.25,-4.06,12.75,0.84,7.72,0
28/02/2022,-2.29,2.92,3.08,-2.09,3.12,0
31/03/2022,3.05,-2.17,-1.81,-1.53,3.14,0.01
30/04/2022,-9.46,-0.39,6.17,3.52,5.89,0.01
31/05/2022,-0.34,-0.06,8.39,1.56,3.97,0.03
30/06/2022,-8.43,1.3,-5.97,1.81,-4.69,0.06
31/07/2022,9.57,1.82,-4.05,0.82,-6.83,0.08
31/08/2022,-3.77,1.52,0.29,-4.75,1.29,0.19
30/09/2022,-9.35,-1.05,0.05,-1.51,-0.8,0.19
31/10/2022,7.83,1.89,8.01,3.34,6.64,0.23
30/11/2022,4.6,-2.74,1.38,6.38,3.18,0.29
31/12/2022,-6.41,-0.15,1.37,0.25,4.2,0.33
